dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.23598131 0.14953271 0.20093458 0.14953271 0.17056075],0.181 ± 0.033,0.18130841121495328,0.1705607476635514,0.03319401987883746,0.14953271028037385,0.20093457943925236,[0.45155485 0.2952568  0.3717314  1.27126783 0.73139823],0.624 ± 0.356,0.6242418193126128,0.45155484698634085,0.3555105061838344,0.37173139841808267,0.7313982269108833,[0.03374078 0.01923277 0.02740101 0.06001953 0.06694387],0.041 ± 0.019,0.04146759290757015,0.03374077905672255,0.018682477477532173,0.027401012219470992,0.06001952825375401
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.23598131 0.23598131 0.23598131 0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.41692771 0.41692771 0.41692771 0.41692771 0.41692771],0.417 ± 0.000,0.41692770801766893,0.416927708017669,5.551115123125783e-17,0.416927708017669,0.416927708017669,[0.03632632 0.03632632 0.03632632 0.03632632 0.03632632],0.036 ± 0.000,0.03632631566015958,0.03632631566015958,0.0,0.03632631566015958,0.03632631566015958
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.23598131 0.17056075 0.20093458 0.17056075 0.15654206],0.187 ± 0.029,0.18691588785046725,0.1705607476635514,0.02850084239621852,0.1705607476635514,0.20093457943925236,[0.42750164 0.35073728 0.38950141 0.3503115  0.34131655],0.372 ± 0.032,0.37187367400668253,0.35073727753814404,0.032405617664611024,0.35031149872080186,0.38950140590776144,[0.04099648 0.06667112 0.05020478 0.06655788 0.06655854],0.058 ± 0.011,0.05819775820230385,0.06655787612104225,0.010689842483409434,0.05020477656240328,0.06655853895222404
sst2,8,16,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.23598131 0.23598131 0.23598131 0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[1.98846641 0.41079879 5.75805097 0.41849568 0.43759463],1.803 ± 2.069,1.8026812942736943,0.4375946270100749,2.068634027338528,0.41849568442291135,1.9884664053782564,[0.09302664 0.02291586 0.05847687 0.03905262 0.03463765],0.050 ± 0.025,0.04962192911056329,0.039052622695889855,0.024543154676610678,0.03463764811969362,0.05847686836938395
sst2,8,16,encoder_sst2,0,roberta_base,full_ft,no_calibration,test,1.0116822429906542,1.012 ± 0.000,1.0116822429906542,1.0116822429906542,0.0,1.0116822429906542,1.0116822429906542,1.0234489920901981,1.023 ± 0.000,1.0234489920901981,1.0234489920901981,0.0,1.0234489920901981,1.0234489920901981,0.15186264079310113,0.152 ± 0.000,0.15186264079310113,0.15186264079310113,0.0,0.15186264079310113,0.15186264079310113
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.14953271 0.32009346 0.15654206 0.18457944 0.15654206],0.193 ± 0.064,0.19345794392523363,0.15654205607476634,0.06445211083950156,0.15654205607476634,0.18457943925233644,[0.40596949 2.50706458 0.31332737 0.35938452 0.30192619],0.778 ± 0.866,0.7775344304918923,0.3593845217081236,0.8655490498185422,0.3133273710219787,0.40596949103547286,[0.04376517 0.13986511 0.03310896 0.00948776 0.01751744],0.049 ± 0.047,0.04874888785873921,0.03310895805892017,0.04709235615166385,0.01751744287575465,0.04376516716587616
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.23598131 0.23598131 0.23598131 0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.41692771 0.41692771 0.41692771 0.41692771 0.41692771],0.417 ± 0.000,0.41692770801766893,0.416927708017669,5.551115123125783e-17,0.416927708017669,0.416927708017669,[0.03632632 0.03632632 0.03632632 0.03632632 0.03632632],0.036 ± 0.000,0.03632631566015958,0.03632631566015958,0.0,0.03632631566015958,0.03632631566015958
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.18457944 0.22897196 0.15654206 0.17056075],0.185 ± 0.027,0.18516355140186913,0.17757009345794392,0.027165925126713765,0.16705607476635514,0.19567757009345793,[0.35968883 0.41910425 0.34410363 0.35164177],0.369 ± 0.030,0.3686346206881754,0.3556653042629073,0.02965525575095901,0.3497572373123647,0.374542687638718,[0.06043278 0.05055838 0.06584414 0.06691425],0.061 ± 0.006,0.060937386077055504,0.06313845689443529,0.006476446725678379,0.05796417841085,0.0661116645606408
sst2,16,32,basic_sst2_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.23598131 0.23598131 0.23598131 0.23598131 0.23598131],0.236 ± 0.000,0.23598130841121495,0.23598130841121495,0.0,0.23598130841121495,0.23598130841121495,[0.42680053 0.42774772 0.4160343  0.41072128 0.40839044],0.418 ± 0.008,0.4179388545318,0.4160342958132977,0.00802042504643525,0.4107212836562361,0.42680053034984394,[0.02835329 0.05274172 0.03468849 0.01239537 0.01369669],0.028 ± 0.015,0.02837511135198728,0.028353290877534618,0.014862027469744864,0.01369668627261323,0.03468848563089343
agnews,256,1024,basic_agnews_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,[0.18       0.15175439 0.15315789 0.14719298 0.15526316],0.157 ± 0.012,0.15747368421052632,0.1531578947368421,0.011570225316785945,0.15175438596491228,0.15526315789473685,[0.28554227 0.23656299 0.2400512  0.23720437 0.23978534],0.248 ± 0.019,0.2478292331648772,0.23978534083218994,0.018906565356108164,0.23720436517246343,0.2400511962889414,[0.03311067 0.01422567 0.01413512 0.03053979 0.0114124 ],0.021 ± 0.009,0.020684730599091955,0.014225673959422005,0.009188243445941595,0.014135122522330434,0.030539791738527947
