dataset,size,num_samples,prompt,n_shots,model,base_method,cal_method,split,norm_error_rate:values,norm_error_rate,norm_error_rate:mean,norm_error_rate:median,norm_error_rate:std,norm_error_rate:Q1,norm_error_rate:Q3,norm_cross_entropy:values,norm_cross_entropy,norm_cross_entropy:mean,norm_cross_entropy:median,norm_cross_entropy:std,norm_cross_entropy:Q1,norm_cross_entropy:Q3,ece:values,ece,ece:mean,ece:median,ece:std,ece:Q1,ece:Q3
sst2,8,16,encoder_sst2,0,roberta_base,full_ft,no_calibration,test,1.0116822429906542,1.012 ± 0.000,1.0116822429906542,1.0116822429906542,0.0,1.0116822429906542,1.0116822429906542,1.0234489920901981,1.023 ± 0.000,1.0234489920901981,1.0234489920901981,0.0,1.0234489920901981,1.0234489920901981,0.15186264079310113,0.152 ± 0.000,0.15186264079310113,0.15186264079310113,0.0,0.15186264079310113,0.15186264079310113
agnews,4,16,encoder_agnews,0,roberta_base,full_ft,no_calibration,test,0.7592982456140351,0.759 ± 0.000,0.7592982456140351,0.7592982456140351,0.0,0.7592982456140351,0.7592982456140351,0.9416109547238513,0.942 ± 0.000,0.9416109547238513,0.9416109547238513,0.0,0.9416109547238513,0.9416109547238513,0.1397980173570042,0.140 ± 0.000,0.1397980173570042,0.1397980173570042,0.0,0.1397980173570042,0.1397980173570042
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,0.3770175438596491,0.377 ± 0.000,0.3770175438596491,0.3770175438596491,0.0,0.3770175438596491,0.3770175438596491,6.250586216092122,6.251 ± 0.000,6.250586216092122,6.250586216092122,0.0,6.250586216092122,6.250586216092122,0.20977699888651075,0.210 ± 0.000,0.20977699888651075,0.20977699888651075,0.0,0.20977699888651075,0.20977699888651075
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,lora,no_calibration,test,[0.34350877 0.35859649],0.351 ± 0.008,0.3510526315789474,0.3510526315789474,0.007543859649122797,0.34728070175438597,0.3548245614035088,[0.53944886 0.59887812],0.569 ± 0.030,0.5691634911597239,0.5691634911597239,0.02971462820566534,0.5543061770568911,0.5840208052625565,[0.0672459  0.12046688],0.094 ± 0.027,0.09385638682308076,0.09385638682308076,0.026610489903519052,0.08055114187132123,0.10716163177484028
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,[0.32122807 0.35192982],0.337 ± 0.015,0.3365789473684211,0.3365789473684211,0.015350877192982476,0.3289035087719298,0.3442543859649123,[0.45423912 5.11168372],2.783 ± 2.329,2.7829614163627454,2.7829614163627454,2.328722301067574,1.6186002658289582,3.947322566896532,[0.06443709 0.19571639],0.130 ± 0.066,0.1300767389378472,0.1300767389378472,0.06563965083678623,0.09725691351945409,0.16289656435624034
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,[0.35263158 0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.75899966 0.75899966 0.75899966],0.759 ± 0.000,0.7589996571971925,0.7589996571971926,1.1102230246251565e-16,0.7589996571971926,0.7589996571971926,[0.12556743 0.12556743 0.12556743],0.126 ± 0.000,0.1255674335736068,0.1255674335736068,0.0,0.1255674335736068,0.1255674335736068
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,[0.32438596 0.33157895],0.328 ± 0.004,0.3279824561403509,0.3279824561403509,0.0035964912280701533,0.3261842105263158,0.32978070175438595,[0.44673599 0.57357633],0.510 ± 0.063,0.5101561605930975,0.5101561605930975,0.06342016959506797,0.47844607579556353,0.5418662453906314,[0.02957789 0.09024601],0.060 ± 0.030,0.05991195184304763,0.05991195184304763,0.030334058646939454,0.0447449225195779,0.07507898116651736
agnews,4,16,basic_agnews_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,[0.35263158 0.35263158],0.353 ± 0.000,0.3526315789473684,0.3526315789473684,0.0,0.3526315789473684,0.3526315789473684,[0.63593717 0.71097004],0.673 ± 0.038,0.6734536063413397,0.6734536063413397,0.03751643560010848,0.6546953885412855,0.6922118241413939,[0.10248512 0.11792892],0.110 ± 0.008,0.11020701780008796,0.11020701780008796,0.007721898400877281,0.10634606859964932,0.1140679670005266
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,affine_scalar,test,0.42044020748633115,0.420 ± 0.000,0.42044020748633115,0.42044020748633115,0.0,0.42044020748633115,0.42044020748633115,0.442480203554436,0.442 ± 0.000,0.442480203554436,0.442480203554436,0.0,0.442480203554436,0.442480203554436,0.029295480038216946,0.029 ± 0.000,0.029295480038216946,0.029295480038216946,0.0,0.029295480038216946,0.029295480038216946
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,no_calibration,test,0.5491378101780457,0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,0.8406640839865143,0.841 ± 0.000,0.8406640839865143,0.8406640839865143,0.0,0.8406640839865143,0.8406640839865143,0.25586362123941303,0.256 ± 0.000,0.25586362123941303,0.25586362123941303,0.0,0.25586362123941303,0.25586362123941303
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,bias_only,test,0.4215617552222066,0.422 ± 0.000,0.4215617552222066,0.4215617552222066,0.0,0.4215617552222066,0.4215617552222066,0.4632584091853638,0.463 ± 0.000,0.4632584091853638,0.4632584091853638,0.0,0.4632584091853638,0.4632584091853638,0.09752025111869853,0.098 ± 0.000,0.09752025111869853,0.09752025111869853,0.0,0.09752025111869853,0.09752025111869853
20newsgroups,16,320,basic_20newsgroups_0-shot_litgpt,0,lm_phi3,no_adaptation,temp_scaling,test,0.5491378101780457,0.549 ± 0.000,0.5491378101780457,0.5491378101780457,0.0,0.5491378101780457,0.5491378101780457,0.6390275675370067,0.639 ± 0.000,0.6390275675370067,0.6390275675370067,0.0,0.6390275675370067,0.6390275675370067,0.021984194431403238,0.022 ± 0.000,0.021984194431403238,0.021984194431403238,0.0,0.021984194431403238,0.021984194431403238
agnews,8,32,encoder_agnews,0,roberta_base,full_ft,no_calibration,test,0.6657894736842106,0.666 ± 0.000,0.6657894736842106,0.6657894736842106,0.0,0.6657894736842106,0.6657894736842106,0.8569307974296586,0.857 ± 0.000,0.8569307974296586,0.8569307974296586,0.0,0.8569307974296586,0.8569307974296586,0.07084943748226114,0.071 ± 0.000,0.07084943748226114,0.07084943748226114,0.0,0.07084943748226114,0.07084943748226114
agnews,8,32,basic_agnews_0-shot_litgpt,0,lm_phi3,lora,affine_scalar_train_on_val,test,0.3657894736842105,0.366 ± 0.000,0.3657894736842105,0.3657894736842105,0.0,0.3657894736842105,0.3657894736842105,0.4872665392201976,0.487 ± 0.000,0.4872665392201976,0.4872665392201976,0.0,0.4872665392201976,0.4872665392201976,0.01622868851372808,0.016 ± 0.000,0.01622868851372808,0.01622868851372808,0.0,0.01622868851372808,0.01622868851372808
